id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,housing_promised,collapse_context,health_behaviour,coping_strategies
13,училище,роль преподавателей в мотивации к учебе,"Интерес к учебе в училище связан с личностью преподавателей и их подходом, что позволило респонденту раскрыть свои способности.","Поэтому, наверное, больше зависело от преподавателей. Как они это преподнесут?","благодарность, осознанность","уважение к профессионализму, развитие",Влияние педагогов на образовательную траекторию — ключевой фактор для профессионального самоопределения.,декларация,училище,,,,,
14,"зрелость, профессиональная жизнь",разнообразие профессий и адаптация,"Респондент осваивает разные профессии, быстро учится новому, проявляет предприимчивость и адаптивность, сталкивается с рисками неформального рынка труда.","Я месяц отработал, я получил деньги, посмотрел, сколько я получил, я посмотрел, Сколько они получили? А я что не умею? Дайте мне сюда шпатель.","самоуверенность, азарт","предприимчивость, самостоятельность, адаптация",Гибкость и способность быстро осваивать новые навыки — ответ на нестабильность и риски рынка труда.,эпизод,,"неформальный рынок, строительные подряды",,,,
15,"зрелость, профессиональная жизнь",карьерный рост и опыт руководства,"Благодаря инициативности и умению решать задачи респондент становится прорабом, получает повышение и материальные бонусы.","Он говорит, слушай, а может, ты у меня останешься по прорабам? Я говорю, а сколько будешь платить? Он говорит, ну, 60. Я говорю, мало. Он говорит, ну, давай 70.","гордость, удовлетворение","инициативность, лидерство, материальное благополучие",Социальная мобильность возможна благодаря личной инициативе и умению договариваться.,эпизод,,"карьерный рост, неформальный рынок",,,,
16,"зрелость, переезд и новая жизнь","переезд ради семьи, смена ритма жизни","После знакомства с будущей женой респондент переезжает в другой город, отмечает разницу в ритме жизни и менталитете.",Буквально через пару месяцев я приехал сюда к ней. И жизнь остановилась. Тут вообще город такой. И люди тормознутые.,"растерянность, адаптация","семья, поиск гармонии","Переезд ради семьи — частый мотив, сопряженный с необходимостью адаптации к новым социальным и культурным условиям.",узел,,,False,,,
1,Детство и раннее школьное время,Отношение к учебе и досугу в детстве,"В детстве респондент не проявлял интереса к учебе, предпочитал проводить время вне школы, иногда обманывал взрослых о своих занятиях. В то же время, ему нравились технические кружки и активный досуг.","музыкалку на баян, но туда не ходил, хотя говорил, что ходил, но на самом деле не ходил. А на продленке говорил, что я в музыкалке, в музыкалке говорил, что в продленке, а сам гулял.","ирония, легкая беззаботность","свобода, самостоятельность, интерес к технике",Раннее проявление самостоятельности и склонности к обходу формальных правил; ориентация на неформальное обучение и досуг.,эпизод,"школа, музыкальная школа, продленка",,,,,
2,Средняя школа,Увлечения и социализация в подростковом возрасте,"В средней школе респондент нашел интерес в картинге, что стало для него важным увлечением. Учеба оставалась неинтересной, но участие в соревнованиях и поддержка района приносили удовлетворение.","Учиться нет, но картинг был прикольный. места занимаешь, в район поддерживаешь.","увлеченность, радость","самореализация, командный дух, признание",Важность внешкольных активностей для формирования самооценки и социальной идентичности.,эпизод,"школа, секция картинга",,,,,
3,Переход к профессиональному обучению,Изменение отношения к учебе,"После перехода в училище респондент внезапно заинтересовался учебой, стал почти отличником, особенно по точным и гуманитарным предметам. Испытал чувство удовлетворения от успехов.","В училище меня пробило на учебу. В итоге я, грубо говоря, 10-11 класс закончил почти отличник.","гордость, удовлетворение","достижение, признание, саморазвитие",Показатель влияния образовательной среды и преподавателей на мотивацию к учебе.,перелом,училище,,,,,
4,Служба в армии и первый брак,"Переход во взрослую жизнь, первый опыт семейной жизни","После окончания училища респондент ушел на флот, где служил три года. В этот период женился в первый раз, но брак был недолгим.","Ну вот там я женился первый раз, в Балтийске, на первой жене. Она со мной сюда приехала, но мы что-то недолго прожили.",нейтрально-рефлексивный,"ответственность, поиск стабильности",Типичный для постсоветского пространства сценарий раннего брака после службы.,узел,"флот, семья",,,,,
5,"Молодость, поиски себя",Частая смена мест и работ,"После армии респондент работал в разных городах и сферах, не задерживаясь надолго на одном месте. Испытывал потребность в переменах и поиске интереса.","У меня шило в задницу, я не умею на одном месте долго работать, как люди.","беспокойство, ирония","разнообразие, свобода, самореализация",Склонность к мобильности и отказу от традиционной карьерной стабильности.,декларация,,"высокая мобильность, временная занятость",,,,
6,Вторая семья и оседлость,"Создание второй семьи, рождение ребенка","В возрасте около 33 лет респондент вступил во второй брак после года знакомства, после рождения дочери. С тех пор живет и работает в одном регионе.","год, наверное, где-то. Да, год, потому что в 2012-м родилась дочка, и вот после ее рождения мы только поженились.","спокойствие, удовлетворение","семья, забота о детях, стабильность",Семейные события становятся фактором оседлости и относительной стабилизации.,узел,,,жилье после брака,,,
7,Профессиональная жизнь в зрелости,Отношение к работе и профессиональной идентичности,"Респондент продолжает часто менять работу, не задерживаясь там, где становится неинтересно. Сравнивает себя с женой и тещей, которые всю жизнь работают на одном месте.","А у меня в трудовой, год, наверное, работал, но мне там уже все, как бы двигаться дальше некуда, изобретать нечего, мне это стало неинтересно, я оттуда шел.","ирония, легкое недовольство","самореализация, новизна, независимость",Контраст между традиционной трудовой стабильностью и современной мобильностью.,декларация,,частая смена работы,,,,
8,Детство и семейная история,Семейная структура и отношения с родственниками,"Родители развелись после четвертого класса, переезд к отчиму. Отношения с бабушкой по отцу были сложными, но позже наладились контакты с родственниками.","Мама как раз четвертый класс, я закончил, родители развелись, мы переехали к отчиму.",нейтрально-рефлексивный,"семья, принятие, адаптация",Опыт неполной семьи и перестройки семейных связей.,эпизод,"семья, отчим",,,,,
9,Детство и подростковый возраст,Трудовой опыт и социализация в деревне,"Каждое лето респондент проводил у бабушки, работал в огороде, участвовал в коллективных играх и рано начал зарабатывать, работая на комбайне.","Вот закончилась учеба, тебя отправляют к бабушке на все лето. И ты там в огороде то полоть, то жуков собирать, то за седом ехать, то еще что-нибудь. Ну и попутно играть, гулять.","ностальгия, удовлетворение","трудолюбие, коллективизм, самостоятельность",Типичная для сельской местности социализация через труд и коллективные активности.,эпизод,,ранний трудовой опыт,,,,
10,Детство и юность,Отсутствие ярко выраженных мечтаний о профессии,"Респондент не помнит, чтобы в детстве мечтал о какой-то профессии, но с шестого класса проявлял интерес к технике и вождению.","Я не хотел быть ни космонавтом, ни кем.","безразличие, спокойствие","прагматизм, интерес к технике","Отсутствие романтизированных профессиональных мечтаний, ориентация на практические навыки.",декларация,,,,,,
11,Юность,Волонтерский опыт и мобильность,"В юности респондент был волонтером, много ездил по стране, получал удовольствие от дальних поездок и знакомства с новыми людьми.","Я тогда успел с людьми... В основном приезжали молодежь, которые то с Сибири приедут, а никогда в жизни моря не видят.","энтузиазм, открытость","мобильность, общительность, познание",Волонтерство как способ расширения социальных связей и географического кругозора.,эпизод,,,,,,
12,Школьные годы,Коллективный труд и сплочение класса,"В школе респондент участвовал в коллективных работах на полях, что способствовало сплочению класса и созданию позитивных воспоминаний.","И мы там прям скучковались все дружно, и у нас вообще с этим проблем не было. Больше после этого. Вот это было вообще самое отличное время.","радость, ностальгия","коллективизм, дружба, совместный труд",Коллективный труд как инструмент социализации и формирования групповой идентичности.,эпизод,,,,,,
13,Профессиональное обучение,Влияние преподавателей на мотивацию,"Интерес к учебе в училище был связан с личностью преподавателей и их подходом. Практическое применение знаний осознал позже, уже во взрослой жизни.","Поэтому, наверное, больше зависело от преподавателей. Как они это преподнесут?","благодарность, осознанность","уважение к знаниям, практичность",Роль педагогов в формировании образовательной мотивации.,декларация,,,,,,
14,Молодость и зрелость,Профессиональная мобильность и адаптация,"Респондент работал на стройках, быстро осваивал новые навыки, проявлял смекалку и умение адаптироваться к разным условиям. Испытывал трудности, но находил выходы из сложных ситуаций.","Согласитесь, это надо быть живучим тараканом. Не могу не согласиться. Выскорбстись со всего этого.","гордость, ирония","адаптивность, предприимчивость, самостоятельность",Профессиональная мобильность как стратегия выживания и самореализации в условиях нестабильного рынка труда.,эпизод,,"строительство, временные работы",,,,
15,Переезд и новая жизнь,Переезд ради семьи и смена жизненного ритма,"После знакомства со второй женой респондент переехал в другой город, сменил сферу деятельности, отмечает замедление ритма жизни и адаптацию к новым условиям.",Буквально через пару месяцев я приехал сюда к ней. И жизнь остановилась. Тут вообще город такой. И люди тормознутые. И город весь какой-то. У меня вообще мозг атрофировался.,"растерянность, ирония","семья, адаптация, поиск баланса",Переезд ради семьи как фактор изменения жизненного уклада и профессиональной траектории.,перелом,,,переезд к супруге,,,
1,Период жизни в Сочи,Финансовое поведение и отношение к деньгам,"Респондент сожалеет о том, что не умел копить деньги, предпочитая жить на широкую ногу. Он признаёт, что стал осторожнее в обращении с деньгами после переезда.","Я жил шикарно, то есть там все себе позволили... Надо было подкопить, чтобы что-то осталось. Но я так не умею. Мне вообще деньги не любят меня.","Сожаление, самоирония","Свобода, удовольствие от жизни, финансовая независимость","Респондент демонстрирует типичное для части постсоветского поколения отношение к деньгам: склонность к трате, отсутствие долгосрочного финансового планирования, но с возрастом появляется осторожность.",эпизод,"рынок труда, рынок жилья",,False,,,
2,Настоящее время,Работа и профессиональные отношения,"Респондент работает в фирме, занимается продажей посуды, отмечает хорошие отношения с коллегами и считает себя коммуникабельным человеком.","Откуда бы я не уволился, у меня отличные характеристики... Мне общаться с людьми вообще легко.","Уверенность, удовлетворение","Коммуникабельность, хорошие отношения, профессионализм","Высокая ценность человеческих отношений на рабочем месте, умение адаптироваться и поддерживать контакт с разными людьми.",декларация,,True,,,,
3,Переезд в новый город,Адаптация и особенности менталитета,"Респондент отмечает разницу в менталитете между собой и местными жителями, подчеркивает свою открытость и коммуникабельность, связывает это с национальной принадлежностью.","Я же татарин, у нас нация такая, мы не можем сидеть ровно.","Гордость, лёгкое недоумение","Открытость, национальная идентичность, общительность",Важность этнической идентичности и культурных различий в процессе адаптации к новому месту.,декларация,миграция,,,,,
4,Работа на заводе,Потребность в движении и развитии,"Респонденту важно ощущение движения и развития на работе. Он быстро осваивает процессы, решает проблемы, но когда наступает рутина, теряет интерес.","Мне нравится все, где я двигаюсь куда-то... когда все настроилось, мне даже не интересно.","Азарт, скука при рутине","Развитие, новизна, эффективность","Поколенческая усталость от рутины, стремление к постоянному развитию и решению новых задач, что типично для людей с высокой адаптивностью.",узел,"завод, рынок труда",,,,,
5,Профессиональные переходы,Отношение к карьерному росту и образованию,"Респондент не стремится к вертикальному карьерному росту, предпочитает горизонтальное расширение компетенций. Бросил учебу, не видя смысла в профессии без динамики.",А смысл агрономом где-то в другом месте быть не хочу... сидеть на одном месте и ворошить бумажки я не хочу.,"Безразличие к статусу, прагматизм","Практичность, свобода выбора, разнообразие","Отказ от традиционной карьерной модели, ориентация на гибкость и многофункциональность.",перелом,образование,,,,,
6,Планирование будущего,Планы и новые интересы,"Респондент планирует поехать на Дальний Восток ради заработка и освоения нового опыта, параллельно развивает интерес к предметной фотографии.","Я прошел курс обучения... Я набрал аппаратуру, но не хватает денег на это. Здесь я знаю, что заработать столько не получится, поэтому я решил поехать на вакуум-парадокс.","Интерес, целеустремленность","Обучение, самореализация, финансовая самостоятельность","Стремление к освоению новых профессий и навыков, готовность к мобильности ради самореализации.",узел,,True,,,,
7,Период после первого брака,Свободная жизнь после развода,"После развода респондент жил насыщенной, свободной жизнью, не связывая себя серьёзными отношениями.","То одна, то вторая, то третья, то четвертая, все такие. То есть, в общем, свободная жизнь у вас была? — Абсолютно вообще.","Лёгкость, удовлетворение","Свобода, независимость, насыщенность жизни","Период личной свободы после развода воспринимается как позитивный опыт, что характерно для людей, ценящих самостоятельность.",эпизод,,,,,,
8,Второй брак,Семейная жизнь и личные предпочтения,"В браке респондент предпочитает проводить время вне дома, на даче, что становится причиной конфликтов с супругой. Отношения переживают кризис.",Вот пока терплю 13 лет уже... Поэтому развод близок.,"Усталость, ирония, дистанция","Личное пространство, самостоятельность, честность","Семейная жизнь строится на компромиссах, но приоритет личного пространства и интересов приводит к отчуждению.",узел,,,False,,,
9,Переезды и адаптация,Отношение к переменам и стрессу,"Респондент легко адаптируется к новым условиям, не испытывает стресса от переездов, считает, что всегда сможет выкрутиться из любой ситуации.",Я так не умею... Я выкручусь из всего.,"Уверенность, спокойствие","Адаптивность, оптимизм, самостоятельность","Высокая мобильность и стрессоустойчивость, характерные для людей с опытом частых перемен.",декларация,миграция,,,,,
10,Жизненные принципы,Отношение к проблемам и планированию,"Респондент делит проблемы на решаемые и нерешаемые, предпочитает жить одним днём, но при этом умеет планировать важные события.","В жизни есть два варианта проблемы. Первая, которую решить можно... А если ты ее не можешь решить, то поставить ее на самотек.",Философское спокойствие,"Рациональность, гибкость, минимализм","Комбинация ситуативного и стратегического планирования, что позволяет сохранять баланс между спонтанностью и ответственностью.",декларация,,,,,,
11,Экстремальные ситуации,Опыт преодоления трудностей,"Респондент сталкивался с экстремальными ситуациями, например, вынужденный переезд из-за угрозы, но воспринимает их как решаемые задачи.",А что вот переехать из Сибири в Сочи со 150 рублями в кармане не экстремал? Вопрос решен.,"Самоирония, спокойствие","Решимость, самостоятельность, прагматизм",Опыт преодоления трудностей формирует уверенность в себе и готовность к новым вызовам.,эпизод,,,,,,
12,Формирование жизненных принципов,Честность и ответственность в отношениях,Респондент считает важным держать слово и не переносит безответственность в отношениях с людьми.,"Я не из тех людей. Меня писят те люди, которым это не важно.","Раздражение, категоричность","Честность, ответственность, принципиальность",Высокая значимость личной ответственности и честности в межличностных отношениях.,декларация,,,,,,
13,Переосмысление ценностей,Главное в жизни — взаимопонимание,"Для респондента важно, чтобы рядом был человек, который его понимает и поддерживает, и чтобы это было взаимно.","Чтобы рядом с тобой был человек, который тебя понимает. И, наверное, чтобы он тебя поддерживал и понимал то, когда ты его стараешься поддержать в меру своих способностей.","Теплота, искренность","Взаимопонимание, поддержка, эмпатия","Переход к ценности глубоких, взаимных отношений как ключевого жизненного ориентира.",декларация,,,,,,
1,"зрелый возраст, семейная жизнь",Поддержка и отношения в семье,"Респондент рассуждает о важности поддержки в отношениях, о том, как восприятие поддержки может отличаться у разных людей, и о том, что иногда поддержка воспринимается как должное.","Главное, чтобы он понимал то, что ты этого человека поддерживаешь, но в меру того...","рефлексивный, спокойный","поддержка, взаимопонимание, баланс в отношениях","Респондент демонстрирует осознанное отношение к семейным ролям и границам, отмечая различия в восприятии поддержки между собой и близкими.",декларация,,,,,,
2,зрелый возраст,Счастье и внутреннее состояние,"Счастье для респондента — это спокойствие дома, отсутствие проблем, финансовая стабильность. Он отмечает умение абстрагироваться от проблем.","Когда у меня все хорошо. Когда у меня дома спокойно, все улыбаются, когда у меня деньги есть.","умиротворение, удовлетворенность","семья, стабильность, финансовое благополучие",Важность семейного уюта и материального достатка как основы субъективного благополучия.,декларация,,,,,,
3,зрелый возраст,Страхи и неуверенность,"Респондент признает наличие неуверенности в себе, которая мешает доводить начатое до конца, особенно если сталкивается с трудностями или критикой со стороны близких.","Не знаю, может где-то в глубине души есть такая маленькая неуверенность в себе. Она же у всех есть.","сомнение, уязвимость","саморазвитие, признание слабостей",Респондент демонстрирует типичную для зрелого возраста рефлексию по поводу личных ограничений и влияния окружения на мотивацию.,эпизод,,,,,,
4,"зрелый возраст, семейная жизнь",Влияние семьи на выбор и самооценку,"Респондент сталкивается с непониманием и осторожностью со стороны супруги, что влияет на его уверенность и выборы. Он отмечает разницу в жизненных стратегиях.","Вот я живу с человеком, который привык всю жизнь сходить на работу, получать там свои до 30 тысяч. И вот тихая, спокойная речка, по которой она там всю жизнь плывет...","раздражение, фрустрация","самостоятельность, поиск поддержки, индивидуализм",Различие жизненных стратегий и ценностей внутри семьи может быть источником напряжения и внутреннего конфликта.,узел,,,,,,
5,зрелый возраст,Ответственность и границы,"Респондент подчеркивает важность личной ответственности за собственное настроение и решения, что иногда становится причиной конфликтов в семье.","Я говорю, твое настроение – это зона действия твоей ответственности. И ее это начинает еще больше писить, в итоге мы ругаемся.","ирония, раздражение","личная ответственность, автономия",Демонстрируется переход к индивидуалистским установкам в семейных отношениях.,декларация,,,,,,
6,рефлексия зрелого возраста,Переосмысление прошлого и сожаления,"Респондент размышляет о том, что бы изменил в своей жизни, если бы мог начать заново, и жалеет, что не получил высшее образование в молодости.","Все бы иначе сделал. Во-первых, я бы учился.","сожаление, рефлексия","образование, самореализация",Образование воспринимается как упущенная возможность для улучшения жизненного пути.,перелом,высшее учебное заведение,,,,,
7,"молодость, ранняя зрелость",Образование и социальные барьеры,"Респондент рассказывает, что не поступил в вуз после училища из-за отсутствия денег у родителей, хотя был способен. Позже поступил в университет уже в зрелом возрасте.","Потому что после училища у меня мозги были на месте, я мог это сделать. Но на тот момент, чтобы поступить в наше время, нужны были бабки по-любому. А денег у родителей не было.","сожаление, принятие","образование, социальная мобильность","Финансовые барьеры ограничивали образовательные возможности в молодости, что типично для постсоветского пространства.",эпизод,"училище, университет",,,,,
8,молодость,Студенческая жизнь и предпринимательство,"Респондент с теплотой вспоминает студенческую жизнь, общежитие и свой небольшой бизнес среди студентов.","Вообще, по молодости, студенческая жизнь – это очень классная штука. Пока в Казани работал, я жил в общежитии со студентами с матфаком. У меня там был шикарный бизнес.","ностальгия, радость","инициативность, общительность, предпринимательство",Студенческая среда воспринимается как время возможностей и социальной активности.,эпизод,"общежитие, университет",,,,,
9,зрелый возраст,Самооценка и жизненная позиция,"Респондент характеризует себя как человека, который всегда уверен в своей правоте и способен справиться с любыми трудностями.","Я всегда прав. Поэтому я считаю, что у меня все отлично. Я все умею, я все могу и выкручу из всего, что только можно сделать.","уверенность, самоирония","самостоятельность, оптимизм, эгоизм","Проявление индивидуалистской установки и позитивной самооценки, характерной для зрелого возраста.",декларация,,,,,,
10,зрелый возраст,Режим дня и привычки,"Респондент рассказывает о своем режиме дня, привычке спать днем, связанной с опытом службы на флоте, и о длительных поездках на автомобиле.","Мне организм, наверное, с флота привык. Там есть адмиральский час, когда ты всегда спишь. И с тех пор он меня не отпускает в этот часик.","спокойствие, легкая усталость","устойчивость, привычки, адаптация",Военные привычки и опыт влияют на повседневную жизнь и распорядок дня.,эпизод,флот,,,,,
11,зрелый возраст,Работа и гибкость занятости,"Работа респондента нерегулярна, график плавающий, что влияет на доход. Он часто меняет работу, подстраиваясь под обстоятельства.","Потому что не сезон, работы практически нет, а я работаю 3-4 дня в неделю. Сегодня выходной, потому что нет работы.","адаптация, некоторая неуверенность","гибкость, независимость","Гибкие формы занятости становятся нормой для части взрослого населения, особенно в нестабильных экономических условиях.",эпизод,,гибкая занятость,,,,
12,зрелый возраст,Свободное время и хобби,"В свободное время респондент занимается дачей, фотографией, автомобилем, смотрит сериалы. Хобби зависят от текущих интересов и возможностей.","Либо на даче что-то делаю, либо до этого с фотографией заморачивался, сейчас все сложил, потому что пока не вижу дальше, куда двигаться.","спокойствие, легкая апатия","разнообразие, самостоятельность",Хобби и досуг становятся способом самореализации и компенсации нестабильности в работе.,эпизод,,,,,,
13,зрелый возраст,Таксование как способ заработка,"Респондент рассказывает о своем опыте работы таксистом, предпочитая работать на своей машине, чтобы не платить аренду и быть независимым.","Зачем я буду 2, 5 рубля отдавать, если я могу с утра на своей выехать на 2 часа, заработать 2, 5 рубля, целый день сидеть дома.","прагматизм, удовлетворение","независимость, рациональность",Самозанятость и gig-экономика становятся важной частью экономической стратегии для людей среднего возраста.,эпизод,,самозанятость,,,,
14,зрелый возраст,Оптимизация отдыха и работы,"Респондент описывает, как совмещает отдых с семьей на море и подработку таксистом, что позволяет и заработать, и провести время с близкими.","Я отдохнул и покупался, дети мои целый месяц были на море. А мы и отдохнули, и поработали, и денег заработали.","удовлетворение, гордость","семья, рациональность, эффективность",Стремление к максимальной эффективности в использовании времени и ресурсов характерно для зрелых мужчин с семейными обязанностями.,эпизод,,,жилье у родственников,,,
15,зрелый возраст,Отношение к отдыху и отпуску,"Респондент отмечает, что не имел хорошего отпуска после Сочи, а живя у моря, редко купался из-за занятости. Предпочитает активный отдых с детьми зимой.",В Сочи у меня был отпуск прям круглогодичный. Но при этом я за два года купался два раза. Потому что оно там некогда было.,"ирония, легкая усталость","работоспособность, семья",Даже при наличии ресурсов (жизнь у моря) отдых часто подчинен рабочим и семейным обязанностям.,эпизод,,,,,,
16,зрелый возраст,Семейное времяпрепровождение,"Время с семьей ограничено, часто сводится к совместному проживанию, а не активному досугу.",пришел поспать.,"усталость, некоторая отстраненность","семья, но с акцентом на личное пространство",Современные взрослые часто испытывают дефицит качественного времени с семьей из-за занятости и усталости.,эпизод,,,,,,
17,зрелый возраст,Путешествия и рекомендации,"Респондент делится знаниями о местах для отдыха в России, советует интересные локации, проявляя экспертность и опыт путешественника.","Я побережье знаю все, хоть экскурсии в воде, я уже говорил.","гордость, энтузиазм","опыт, открытость новому",Путешествия и знание страны становятся частью идентичности и социального капитала.,декларация,,,,,,
