id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,housing_promised,collapse_context
13,Взрослая жизнь,Воспитание ребенка и досуг,"Сын занимается в бесплатной спортивной школе по конному спорту, любит животных. Родители поддерживают его интересы.","а лошадьми занимается. Там шлем, купили бронежилет, хлыстик и вперед. Ему очень нравится. С удовольствием. Ну и как бы в целом любит животных.","гордость, удовлетворение","поддержка, развитие ребенка, забота",Доступность бесплатных секций и поддержка интересов ребенка — черта современной семьи в регионах.,эпизод,"спортивная школа, семья",,,
14,Взрослая жизнь,Отношения с близкими и круг общения,"Респондент старается быть независимым, избегает токсичных людей, ценит свое время и не стремится к излишней социальной зависимости.","Я стараюсь ни от кого не зависеть. Чтобы люди влияли, никому за помощью стараться не бежать. Потому что это, я считаю, негативно влияет на жизнь человека.","уверенность, самостоятельность","независимость, самодостаточность, рациональность","Формируется индивидуалистская позиция, характерная для современных городских жителей.",декларация,"социальные сети, семья",,,
15,Студенчество,Опыт проживания вне дома,"Переезд в Орел для учебы не был стрессом, проживание в общежитии воспринималось как позитивный опыт.","Вообще не стресс, вообще не стресс. Было классно, как бы весело.","позитив, легкая ностальгия","адаптивность, открытость новому опыту","Переезд в другой город для учебы — важный этап взросления, формирующий самостоятельность.",эпизод,,,"общежитие, съемная квартира",
16,Взрослая жизнь,Этические дилеммы и профессиональные вызовы,"В работе иногда приходится поступать не по совести, защищая интересы компании, хотя понимает, что клиент может быть прав. Сложные ситуации воспринимает как часть профессии.","Но поскольку ты работаешь на компанию, а ты человек компании и защищаешь ее интересы, а не интересы клиента, тебе нужно, защищать, скажем так, эту компанию. Хотя ты понимаешь, что зачастую клиент ни в чем не виноват.","прагматизм, легкое напряжение","профессионализм, лояльность, психологическая устойчивость",Работа в продажах требует психологической устойчивости и готовности к компромиссам с личными ценностями ради интересов работодателя.,узел,,"рынок труда, корпоративная культура",,
1,"Зрелый возраст, семейная жизнь, работающий взрослый",Распорядок буднего дня и свободное время,"Респондент описывает свой типичный будний день: после работы ужин дома, прогулка, немного свободного времени, выполнение домашних обязанностей, просмотр телевизора. Свободного времени мало, основное время уходит на работу и семью.","Мало, очень мало времени. Это же будние дни. В течение работы времени нет свободного.","Усталость, некоторая неудовлетворенность нехваткой времени","Семья, ответственность, трудолюбие",Распорядок дня типичен для представителей среднего класса с высокой занятостью и распределением домашних обязанностей между супругами. Свободное время воспринимается как дефицитный ресурс.,эпизод,"семья, работа",,,
2,"Зрелый возраст, семейная жизнь, работающий взрослый",Домашние обязанности и гендерные роли,"В семье нет строгого разделения домашних обязанностей, но основные задачи по дому выполняет жена, респондент помогает по мере необходимости, особенно в праздники или при большой нагрузке.","Я умею готовить еду, да, но этим в основном занимается жена. Еду на праздники мы готовим вместе.","Спокойствие, принятие","Сотрудничество, поддержка, семейные традиции","Семейная модель близка к традиционной, но с элементами партнерства. Гендерные роли не жестко закреплены, возможна взаимопомощь.",декларация,семья,,,
3,"Зрелый возраст, профессиональная занятость",Рабочий график и условия труда,"Рабочий день с 8:30 до 17:30, перерыв на обед, но в сезон перерывы часто отсутствуют. Руководство находится в другом городе, контроль минимален, но объем работы большой и постоянный.","Работу никто не отменял, ее объем, текучка, все эти дела накапливаются, и это все равно потом делать придется.","Стресс, усталость, некоторая фрустрация","Ответственность, самостоятельность","Работа в крупной структуре (холдинг), высокая автономия, но и высокая нагрузка. Типичная ситуация для региональных представителей.",эпизод,работа,,,
4,"Зрелый возраст, профессиональная занятость",Социальные гарантии и корпоративная культура,"Официальное трудоустройство, белая зарплата, оплачиваемые больничные и отпуск, служебный автомобиль. Однако коллектив нездоровый, между отделами постоянные конфликты.","У нас очень нездоровый коллектив, учитывая, что это холдинг. Завод сам по себе. Там отдел продаж сам по себе.","Раздражение, разочарование","Справедливость, профессионализм","Наличие социальных гарантий сочетается с низким уровнем корпоративной культуры и межотделовых конфликтов, что типично для крупных российских предприятий.",узел,работа,,,
5,"Зрелый возраст, профессиональная занятость",Мотивация к работе,"Работа воспринимается исключительно как способ заработка, а не как хобби или призвание. Возможность смены работы рассматривается только при существенном увеличении дохода.","Это вообще не хобби. Конечно, ради денег. Может быть, если где-то было бы место, где можно было бы больше заработать, да, естественно, меня бы там уже не было.","Прагматизм, некоторая отстраненность","Материальное благополучие, стабильность",Прагматичный подход к труду характерен для зрелых работников с семейными обязательствами.,декларация,работа,,,
6,"Зрелый возраст, семейная жизнь","Досуг, огород и виноградарство","В свободное время респондент занимается огородом, выращивает виноград, делает вино. Это воспринимается как отдых, хотя и требует усилий.",Вот у меня там растет виноград на огороде... Вино делаем.,"Удовлетворение, спокойствие","Трудолюбие, связь с природой, самодостаточность","Занятия на участке и виноградарство — типичный элемент досуга для жителей малых городов и пригородов, подчеркивающий связь с землей.",эпизод,,,,
7,"Зрелый возраст, семейная жизнь","Досуг: кино, городские развлечения, медиа","Посещение кинотеатров и городских мероприятий происходит редко, в основном по случаю премьер. Вечером иногда смотрит телевизор или пользуется Telegram.","Летом может быть вообще не до телевизора. Так, знаете, перед сном на 15 минут на фоне или вообще просто есть телеграм, там очень-очень много всего интересного.","Спокойствие, некоторая отстраненность","Информационная открытость, умеренность в развлечениях","Медиа-потребление смещается в сторону цифровых каналов, досуг ограничен из-за занятости.",эпизод,,,,
8,"Зрелый возраст, семейная жизнь",Экологические привычки и отношение к экологии,"Семья не мусорит, учит ребенка не бросать мусор, но не участвует в субботниках и не сортирует отходы. Считает, что на уровне отдельной семьи влияние на экологию ограничено.","Ну, если там могут и коробку большую какую-то в контейнер выкинуть, хотя предупреждают, что и диван могут выкинуть, там выходишь, там с утра диван стоит.","Скепсис, ирония","Ответственность, здравый смысл","Экологические практики ограничены бытовым уровнем, отсутствует инфраструктура для раздельного сбора мусора, что типично для малых городов.",декларация,"семья, местное сообщество",,,
9,"Зрелый возраст, семейная жизнь",Праздники и традиции,"В семье отмечают государственные и личные праздники, используют их как повод для встреч с друзьями и родственниками, совместного отдыха и застолий.","Повод встретиться с друзьями, мясца пожарить, вкусно поесть.","Радость, теплота","Дружба, семейственность, традиции",Праздники выполняют функцию поддержания социальных связей и семейных традиций.,эпизод,"семья, друзья",,,
10,"Зрелый возраст, профессиональная занятость",Отпуск и отдых,"Отпуск чаще всего проводится в России, последний раз — в Сочи. Даже в отпуске респондент остается на связи с работой, полностью отключиться не удается. Идеальный отпуск — без ноутбука, с семьей, на машине.","Вроде бы как бы ты и отдыхаешь, но ты все время за что-то переживаешь. Нет такого, что кому-то ты можешь оставить своих клиентов.","Тревожность, неудовлетворенность","Ответственность, семейные ценности, самостоятельность",Трудоголизм и невозможность делегировать рабочие задачи типичны для специалистов с высокой зоной ответственности.,эпизод,"работа, семья",,,
11,"Зрелый возраст, семейная жизнь",Удовлетворенность распорядком дня и усталость,"Респондент в целом доволен своим распорядком дня, считает его типичным для работающих людей. Иногда испытывает усталость и перегрузку, но отдыхает на выходных.","Да нормальный распорядок дня. Все так, наверное, работают.","Умеренное удовлетворение, усталость","Стабильность, трудолюбие","Восприятие собственной жизни как нормы, типичная рационализация для представителей среднего класса.",декларация,,,,
12,"Зрелый возраст, семейная жизнь",Близкие люди и социальные связи,"Круг общения состоит в основном из профессионалов смежных областей, преимущественно продажников. Общение поддерживается по телефону, иногда встречи в бане. С родственниками стараются встречаться на выходных.","Это близкие люди, это друзья, это общие интересы. ... Ну, такой вот у нас в основном круг. Кто что купил, кто что собирается купить.","Теплота, удовлетворение","Дружба, профессиональная солидарность, семейственность",Социальные связи строятся вокруг профессиональной идентичности и семейных ценностей. Баня — традиционное место неформального общения.,эпизод,"семья, профессиональное сообщество",,,
13,"Зрелый возраст, семейная жизнь",Семейные конфликты и традиции,"В семье нет серьезных конфликтов, стараются не ругаться по мелочам. Есть традиции отмечать праздники, но уникальных семейных ритуалов нет.","Не было у нас никогда серьезных конфликтов. Да, и так-то, в принципе, стараемся не ругаться по мелочам, потому что понимаем, что это вообще ни к чему.","Спокойствие, удовлетворение","Гармония, уважение, семейные традиции",Семейная гармония и отсутствие конфликтов подчеркивают зрелость и устойчивость семейной системы.,декларация,семья,,,
14,"Молодость, студенчество",Знакомство с супругой,"Респондент познакомился с супругой в университете, вместе уже около 15 лет.",Университете.,"Ностальгия, спокойствие","Партнерство, долгосрочные отношения",Знакомство в университете — типичный сценарий для браков среди представителей среднего класса.,узел,университет,,,
1,Зрелая семейная жизнь,Взаимоотношения в браке и семейные ценности,"Респондент считает, что для гармоничных отношений в браке важны общие интересы и ценности, а противоположности не притягиваются. В семье решения о крупных расходах принимаются совместно, а бюджет общий.","Я вообще считаю, что это бредятина. Вообще полнейшая. У людей должно быть много общего. Общие какие-то ценности должны быть.","Уверенность, спокойствие","Партнерство, единство, взаимопонимание, совместность","Респондент демонстрирует ориентацию на партнерскую модель семьи, где важны общие ценности и совместное принятие решений, что характерно для современных городских семей.",декларация,семья,,,
2,Родительство,Воспитание и отношения с ребенком,"Респондент не стремится к тому, чтобы ребенок был отличником, считает важным выполнение требований учителей, но не настаивает на максимальных результатах. Отношения с сыном менялись по мере взросления, постепенно увеличивалась степень доверия и ответственности.","Мы не хотим, чтобы он был каким-то отличником... Он должен выполнять все требования, которые дают учителя.","Спокойствие, реализм","Умеренность, самостоятельность, постепенное взросление","Воспитательная стратегия респондента ориентирована на баланс между требованиями и свободой, что отражает современные подходы к воспитанию в среднем классе.",эпизод,школа,,,
3,Родительство,Роль родителя и дисциплина,"Респондент считает, что родитель должен быть примером для ребенка. В случае конфликтов применяет ограничения (лишение телефона, приставки), считает это достаточными мерами.","Ну, наверное, примером надо быть как минимум... Телефон мы лишили уже давно. Такого, как сказать, сенсорного. С кнопками теперь.","Умеренная строгость, рациональность","Ответственность, личный пример, дисциплина","Использование мягких дисциплинарных мер и ориентация на личный пример характерны для современных родителей, стремящихся к авторитетному, но не авторитарному стилю воспитания.",декларация,семья,,,
4,Зрелая социальная жизнь,Дружба и поддержка,"Друзья помогают друг другу в трудных ситуациях, в том числе финансово. Конфликты случаются, но разрешаются с помощью третьих лиц, отношения после этого становятся крепче.","Ну, друзья, ну, выручают, да, там, с чем-то, с какой-то помощью, там, отвезти, довезти... Мне кажется, что они стали еще крепче.","Благодарность, теплота","Взаимопомощь, лояльность, доверие","Дружеские отношения респондента строятся на взаимной поддержке и способности преодолевать конфликты, что свидетельствует о высокой социальной компетентности.",эпизод,"работа, дружба",,,
5,Зрелая социальная жизнь,Близость и доверие в отношениях,"Респондент ощущает поддержку и любовь со стороны близких, особенно супруги. В случае трудностей обращается к разным людям в зависимости от ситуации, сам также готов поддержать других.","Ну, конечно, живет со мной вместе... Да я не знаю, в принципе, да все могут обратиться.","Уверенность, спокойствие","Доверие, открытость, взаимная поддержка","Респондент демонстрирует широкий круг социальной поддержки и готовность быть опорой для других, что характерно для людей с устойчивыми социальными связями.",декларация,"семья, дружба",,,
6,Зрелая социальная жизнь,Формирование круга общения,"Круг общения респондента сложился по интересам, случайно, без целенаправленного отбора.","Но я не знаю даже, как получилось, так получилось. По интересам, наверное.","Нейтральность, легкая растерянность","Спонтанность, общность интересов","Формирование социальных связей по интересам типично для взрослого возраста, когда профессиональные и личные интересы становятся основой для дружбы.",декларация,дружба,,,
7,"Зрелость, профессиональная жизнь",Здоровье и образ жизни,"Респондента беспокоят профессиональные заболевания, связанные с сидячим образом жизни. Он осознает недостаток физической активности, наличие вредных привычек (курение, алкоголь), но не предпринимает активных попыток изменить ситуацию.","Вот сейчас сижу, вот с утра не успел таблетку выпить... проблемы с шеей. Это все из-за сидячки.","Легкая тревога, самоирония","Осознанность, реализм, умеренность","Респондент демонстрирует типичную для офисных работников озабоченность здоровьем, но не готов к радикальным переменам без внешних стимулов.",декларация,работа,,,
8,"Зрелость, профессиональная жизнь",Отношение к медицине и медицинским услугам,"Респондент доверяет официальной медицине, обращается к знакомым врачам за советом, иногда посещает частные клиники по косметическим вопросам. В компании нет ДМС, что создает неудобства.","Слушайте, а к кому еще идти? ... у меня тут друг, доктор, одноклассник, он полостной хирург, и мне в случае чего есть хотя бы кому позвонить.","Практичность, спокойствие","Доверие к профессионалам, прагматизм",Использование личных связей в медицине и сочетание обращения в государственные и частные клиники типично для российского среднего класса.,декларация,"здравоохранение, работа",,,
9,"Зрелость, гражданская позиция",Роль государства в здравоохранении,"Респондент считает, что государство должно обеспечивать бесплатную медицину, хотя признает разницу в качестве между бесплатными и платными услугами. Критически относится к бюрократии и недостаткам системы.","Государство, оно влияет Оно должно спонсировать полностью все это, потому что мы к этому привыкли уже.","Критичность, реализм","Социальная справедливость, привычка к бесплатным услугам",Ожидание бесплатной медицины и критика ее качества отражают массовые установки российского общества.,декларация,"государство, здравоохранение",,,
10,"Зрелость, гражданская позиция",Отношение к вакцинации,"Респондент положительно относится к вакцинации, считает ее необходимой для здоровья общества, но отмечает, что готов вакцинироваться, если это бесплатно. Скептически относится к новым вакцинам, но в целом поддерживает прививки.",Положительно отношусь к прививкам.,"Умеренная уверенность, рациональность","Рациональность, забота о здоровье, доверие к науке",Прагматичный подход к вакцинации и критика антипрививочников типичны для людей с высоким уровнем доверия к науке.,декларация,здравоохранение,,,
11,"Зрелость, профессиональная жизнь",Финансовые вопросы в медицине,"Респонденту не приходилось платить крупные суммы за медицинские услуги, но он сталкивался с подобными случаями у знакомых. Отмечает парадоксы и бюрократию в системе подтверждения инвалидности.","Слушайте, пока, как говорится, Бог отвел. Такого не было. Все операции, на которые я попадал, были с небольшими суммами денег.","Облегчение, критичность","Благодарность, справедливость","Личный опыт респондента относительно финансовых затрат на медицину ограничен, но он осведомлен о проблемах системы через опыт знакомых.",эпизод,здравоохранение,,,
12,"Зрелость, личное благополучие",Эмоциональное состояние и отношение к психологической помощи,"Респондент предпочитает самостоятельно справляться с тревогой и подавленностью, не обращается к психологам, считает, что человек должен сам разбираться со своими проблемами.","Я вообще считаю, что человек как-то должен все-таки сам с этим справиться. Разобраться со своими тараканами сам должен в своей голове.","Самостоятельность, скепсис","Самодостаточность, рациональность","Скептическое отношение к психологической помощи характерно для части российского населения, особенно среди мужчин среднего возраста.",декларация,,,,
13,"Зрелость, личное благополучие",Отношение к альтернативным практикам,"Респондент скептически относится к энергетическим практикам и гипнозу, считает их неэффективными и даже смешными.","Я считаю, что это вообще какой-то бред, это чушь.","Скепсис, ирония","Рациональность, критическое мышление",Недоверие к альтернативным практикам характерно для людей с рациональным складом ума и ориентацией на традиционную науку.,декларация,,,,
1,"Взрослая жизнь, семейный этап",Опыт сопровождения близких к врачу и переживания за здоровье,"Респондент рассказывает о тяжелом эмоциональном опыте, связанном с болезнью отца (инфаркт), и о своих страхах потерять работоспособность, а также размышляет о том, кто мог бы о нем позаботиться в случае серьезной болезни.","Я как бы присутствовал, когда у отца протекал инфаркт. И ждал скорую вместе с ним. Тяжело.","Тревога, беспокойство, уязвимость","Семья, забота о близких, самостоятельность","Опыт тяжелых ситуаций с близкими формирует у респондента осознанность в отношении здоровья и будущего, а также подчеркивает ограниченность социальных ресурсов поддержки (расчет только на жену).",эпизод,,,,True
2,"Взрослая жизнь, трудовая деятельность","Финансовое положение, структура доходов и отношение к 'серым' зарплатам","Респондент описывает свой опыт работы с 'серой' зарплатой, сезонностью доходов, отсутствие предпринимательского опыта и дополнительной занятости. Основной доход — зарплата жены.","У меня была серая зарплата. До этого все время. Вообще была оформлена на полставки. На полставки даже, то есть оклад не полностью был белый.","Спокойствие, прагматизм","Стабильность, честность, адаптация к обстоятельствам","Респондент демонстрирует адаптацию к неформальным практикам на рынке труда, но в текущий момент предпочитает официальное трудоустройство. Сезонность доходов типична для ряда профессий.",узел,,Официальная и неофициальная занятость,,True
3,"Взрослая жизнь, семейный этап",Финансовое благополучие и расходы,"Респондент оценивает свое финансовое положение как достаточное, отмечает возможность откладывать деньги, отсутствие необходимости жесткой экономии, рациональный подход к расходам.","Да и нам вообще нормально хватает, еще и откладываем.","Удовлетворенность, спокойствие","Рациональность, финансовая стабильность, умеренность","Семья респондента демонстрирует финансовую устойчивость, что позволяет избегать стрессов, связанных с нехваткой средств, и формировать сберегательное поведение.",декларация,,,,True
4,"Взрослая жизнь, семейный этап","Потребительское поведение: покупки, экономия, отношение к акциям и брендам","Респондент описывает повседневные и спонтанные покупки, отношение к акциям и скидкам, выбор товаров по качеству, а не по бренду, а также подход к покупке подержанных автомобилей.","Если я беру по акциям, по скидкам, по желтым ценникам... Очень все удобно посмотреть, как минимум сравнить с парочкой интернет-магазинов.","Прагматизм, уверенность","Рациональность, качество, экономия","Потребительское поведение респондента типично для среднего класса: рациональный подход к тратам, использование цифровых сервисов, ориентация на качество и разумную экономию.",узел,,"Активное сравнение цен, онлайн-покупки, вторичный рынок автомобилей",,True
5,"Взрослая жизнь, семейный этап",Отношение к кредитам и ипотеке,"Респондент негативно относится к кредитам на потребительские нужды, но признает ипотеку как вынужденную необходимость для приобретения жилья.","На всякую ерунду брать кредит не надо. Это вообще, тем более, если это жизненно необходимые, ненеобходимые вещи, зачем это вообще делать? ... Ипотека – это необходимость.","Резкость, категоричность","Финансовая независимость, осторожность, ответственность","Отношение к кредитам отражает ценности финансовой самостоятельности и неприятие долговой нагрузки, кроме случаев, когда это единственный способ решения жилищного вопроса.",декларация,,,Ипотека,True
6,"Взрослая жизнь, семейный этап",Опыт долгов и наблюдение за чужими финансовыми трудностями,Респондент рассказывает о негативном опыте коллеги с кредитными картами и подчеркивает важность планирования расходов и избегания долгов.,"Вот этих вот карт понапихают себе в эти кошельки, думаешь, ё-моё, зачем это вообще нужно?","Осуждение, настороженность","Финансовая грамотность, осторожность",Наблюдение за чужими ошибками формирует у респондента устойчивое неприятие кредитных инструментов и ориентацию на финансовую дисциплину.,эпизод,,,,True
7,"Взрослая жизнь, семейный этап","Платное и бесплатное образование, отношение к образовательным расходам","Респондент оплачивал подготовительные курсы для ребенка, в целом нормально относится к платному образованию, но предпочел бы бесплатное, считая платное образование дополнительной финансовой нагрузкой и сомневаясь в его необходимости для всех.","Понимаете, это как бы дополнительная финансовая нагрузка. Понятное дело, что бесплатная.","Рассудительность, критичность","Рациональность, забота о детях, прагматизм",Отношение к образованию отражает баланс между желанием дать детям лучшее и необходимостью учитывать финансовые возможности семьи. Критика платного образования как элемента 'рабской системы' указывает на недоверие к рыночным механизмам в социальной сфере.,узел,Система образования,,,True
8,"Взрослая жизнь, семейный этап",Семейный бюджет и принятие финансовых решений,"В семье респондента доходы и расходы обсуждаются, но строгого учета не ведется. Финансовые решения принимаются совместно.",Прямо такого сильного учета не ведем. Доходы и расходы обсуждаем.,"Спокойствие, доверие","Открытость, партнерство, доверие",Совместное обсуждение финансовых вопросов свидетельствует о партнерских отношениях в семье и отсутствии жесткой иерархии в принятии решений.,декларация,,,,True
9,"Взрослая жизнь, семейный этап",Покупки продуктов и организация питания,"Респондент описывает совместные походы в магазин, покупки на рынке, редкое питание вне дома и рациональный подход к организации питания.","Да, вместе ходим. После работы заезжаем перед домом в магазин и все покупаем.","Уют, стабильность","Семейность, рациональность, простота","Организация питания и покупок отражает семейную сплоченность и ориентацию на домашний быт, что типично для семей среднего класса.",эпизод,,,,True
1,"Семейная жизнь, зрелость",Взаимоотношения в семье и финансовые вопросы,"Респондент описывает гармоничные отношения с женой, отсутствие разногласий, совместное ведение хозяйства и обсуждение финансовых вопросов. Финансовые трудности чаще связаны с сезонными покупками для семьи, но серьезного анализа расходов не проводится.","С близкими, это вот с женой. У меня, может быть, разногласий нет. Никаких разногласий у нас нет.","Уверенность, спокойствие","Семейная гармония, совместность, практичность","Респондент демонстрирует традиционные семейные ценности, но при этом подчеркивает совместное участие обоих супругов в домашних делах и воспитании детей, что отражает элементы партнерской модели семьи.",эпизод,,,,True
2,"Семейная жизнь, зрелость",Распределение ролей и обязанностей в семье,"Респондент считает, что мужчина должен зарабатывать, но уход за детьми и домашние дела — совместная ответственность. Подчеркивает самостоятельность ребенка и совместное выполнение ремонта, используя современные ресурсы (YouTube).","Ну мужчина должен зарабатывать, понятное дело... То есть не должен кто-то заниматься, а кто-то не заниматься. Вместе как бы совместно все это должно.","Уверенность, легкая ирония","Трудолюбие, самостоятельность, равноправие в быту",Сочетание традиционных и современных взглядов: гендерная роль кормильца сочетается с идеей совместного ведения быта и использованием цифровых инструментов для решения бытовых задач.,декларация,,,,True
