id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,collapse_context,institution,housing_promised,housing_received,market_participation,housing_type,pets,employment_type,health_care,housing,housing_actual,healthcare_participation
11,Настоящее время,Опыт дискриминации по возрасту на рынке труда,"Респондентка столкнулась с отказом в приёме на работу из-за возраста, несмотря на объявление о приёме пенсионеров. В других местах возраст не был препятствием.","А потом, когда я к ней подошла, говорю, ну что, вы берете мою Лену на работу? А она мне говорит, так она же в возрасте.","разочарование, ирония","справедливость, трудолюбие","Возрастная дискриминация на рынке труда остаётся актуальной проблемой, несмотря на формальные заявления работодателей о готовности принимать пенсионеров.",перелом,,работодатель,,,рынок труда,,,,,,,
12,Настоящее время,Финансовые инструменты и кредитование,"Респондентка активно использует кредитные карты с льготным периодом, считает их полезным инструментом при грамотном использовании. Первый опыт кредитования был связан с поездкой в Индию.","Моя первая кредитная карта, это была карта Сбербанка. Как раз она помогла мне первый раз поехать в Индию.","удовлетворение, уверенность","финансовая грамотность, самостоятельность","Использование кредитных инструментов становится частью финансовой стратегии респондента, что свидетельствует о её адаптации к современным экономическим реалиям.",эпизод,,банк,,,"кредитование, путешествия",,,,,,,
13,Настоящее время,Финансовые ожидания и уровень достатка,"Респондентка считает, что для комфортной жизни ей достаточно 70 тысяч рублей в месяц, а 100 тысяч позволили бы реализовать крупные финансовые цели, например, накопить на жильё.","Для себя, например, ну вот 70 тысяч сейчас для меня, это нормальный доход... если бы у меня было 100 тысяч, то, наверное, я бы смогла из этих 100 тысяч его быстренько-быстренько накопить.","реализм, умеренный оптимизм","рациональность, самостоятельность, финансовое планирование","Респондентка трезво оценивает свои финансовые потребности и соотносит их с возможностями, что характерно для людей с опытом жизни в условиях ограниченных ресурсов.",декларация,,,True,,планирование бюджета,,,,,,,
1,"Молодость, студенческие годы",Опыт платного и бесплатного образования,"Респондент рассказывает о своем опыте получения образования: училась заочно на журфаке, не платила за обучение, кроме одного случая с предметом 'логика', когда пришлось внести деньги в общую кассу. В целом, к платным курсам относится скептически, особенно к онлайн-форматам, но признает ценность очных профессиональных курсов.","Мне пришлось 200 рублей, и плюс еще меня же заставили нести зачетки этому преподавателю. Он нам поставил за 200 рублей всем зачет, и я ушла ни с чем. А так бы я с удовольствием эту логику бы сдала.","Разочарование, легкая ирония","Честность, самостоятельность, ценность знаний","Опыт респондента отражает типичное отношение к платному образованию в России 2000-х: недоверие к коммерческим курсам, предпочтение традиционным формам обучения, критика коррупционных практик даже в образовательной среде.",эпизод,,"университет (журфак), неформальные платные курсы",,,"минимальное, вынужденное участие в неформальных сборах",,,,,,,
2,"Зрелость, профессиональная деятельность",Отношение к дополнительному образованию и курсам,"Респондент рассуждает о ценности платных курсов, выделяя очные профессиональные программы (например, курсы визажа) как полезные, а онлайн-курсы считает малоэффективными и не заслуживающими доверия. Считает, что платить стоит только за реальные знания и практические навыки.","Я считаю, что курсы должны быть именно вот такими. Может быть платными, но которые дают серьезное какое-то основание. А вот курсам в интернете, к сожалению, я, например, задумывалась иногда поменять работу... Но я боюсь платить за это, потому что я не верю этим курсам.","Скепсис, осторожность","Практичность, рациональность, стремление к развитию","Позиция респондента иллюстрирует недоверие к рынку онлайн-образования и высокую значимость личного опыта и рекомендаций. Это характерно для поколения, выросшего в условиях советской и постсоветской системы образования.",декларация,,,,,"потенциальное, но сдерживаемое недоверием",,,,,,,
3,"Зрелость, последние годы","Взаимодействие с государственными органами (МФЦ, суды)","Респондент положительно оценивает работу МФЦ, отмечает удобство и профессионализм сотрудников. Судебный опыт был связан с разводом брата (косвенно) и личным делом с Газпромом по поводу оплаты газа, где столкнулась с бюрократией и несправедливостью.","Для меня МФЦ это очень большое дело. И сколько я обращаюсь, очень хороший персонал. Там люди действительно на совесть работают, туда приятно приходить.","Благодарность (МФЦ), разочарование и обида (суд, Газпром)","Справедливость, уважение к труду, законопослушность","Опыт респондента отражает амбивалентное отношение к государственным институтам: признание улучшений в сервисах (МФЦ) сочетается с критикой бюрократии и формализма в других сферах (суды, коммунальные службы).",эпизод/узел,,"МФЦ, суд, Газпром",False,,,,,,,,,
4,"Зрелость, последние годы",Опыт судебного разбирательства с Газпромом,"После смерти матери респондент столкнулась с судебным иском от Газпрома из-за просроченной поверки счетчика. Несмотря на отсутствие фактического потребления газа, суд встал на сторону компании. Респондент испытала чувство несправедливости и беспомощности.","Это был негативный у меня, но это скорее даже не к суду негатив, а именно к нашей государственной, которая народное достояние.","Обида, разочарование, бессилие","Справедливость, честность, ответственность","Ситуация иллюстрирует типичный конфликт гражданина с крупной государственной компанией, где формальные правила превалируют над здравым смыслом. Отсутствие юридической поддержки усугубляет ощущение незащищенности.",перелом,,"Газпром, суд",False,,,,,,,,,
5,"Зрелость, последние годы","Финансовая дисциплина и опыт с налогами, кредитами","Респондент аккуратно относится к налоговым и кредитным обязательствам, имеет статус самозанятого, оплачивает налоги своевременно, избегает просрочек по кредитам. Несколько раз были небольшие задержки, но всегда гасила долги сразу.","Я стараюсь не затягивать, потому что я понимаю, что его все равно платить. Да, и зачем, говоря вы так.","Ответственность, спокойствие","Дисциплина, честность, финансовая грамотность","Респондент демонстрирует высокий уровень финансовой ответственности, что характерно для людей с опытом экономических кризисов и нестабильности. Стремление избегать долгов и просрочек связано с опасением ухудшения кредитной истории.",декларация/эпизод,,,,,"активное участие в финансовых сервисах (самозанятость, кредиты)",,,,,,,
6,"Зрелость, последние годы",Опыт получения социальной помощи,"В семье респондента социальной помощью пользовалась только мама как ветеран и инвалид (льготы на коммунальные услуги). Сама респондент не обращалась за социальной поддержкой, считая это сложным и малозначимым.","Надо собрать тонну бумаги, чтобы получить там какие-то копейки, которые, ну, не стоят этого.","Скепсис, равнодушие","Самостоятельность, прагматизм","Отказ от обращения за социальной помощью объясняется как бюрократическими барьерами, так и внутренней установкой на самостоятельность. Это типично для людей, выросших в условиях, когда государственная поддержка воспринималась как нечто унизительное или малозначимое.",декларация,,социальные службы,,,False,,,,,,,
7,"Зрелость, последние годы",Отношение к государству и власти,"Респондент выражает двойственное отношение к государственным органам: отмечает отдельные положительные примеры, но в целом не доверяет власти из-за коррупции и неэффективности. Считает, что власть должна работать на благо людей, но часто этого не происходит.","Поэтому какое-то двойственное ощущение... Я понимаю, что государственная власть нам нужна, и государственные люди нам нужны. И в то же время мне очень хочется, чтобы вот они были... Ну вот, они были для нас.","Разочарование, надежда, критичность","Справедливость, ответственность власти, честность","Респондент демонстрирует критическое гражданское сознание, свойственное людям с опытом работы в органах местного самоуправления. Доверие к власти формируется на основе личного опыта и наблюдений за конкретными людьми, а не институтами в целом.",декларация/узел,,"органы власти, местное самоуправление",,,,,,,,,,
8,Пенсионный возраст,Финансовое положение на пенсии и трудовая мотивация,"Респондент отмечает низкий уровень пенсии (15 тысяч рублей), из-за чего вынуждена продолжать работать и искать подработки. Выражает желание иметь возможность выбирать работу по душе, а не только из-за необходимости.","Пенсия в 15 тысяч, моя пенсия в 15 тысяч. Я бы, например, с удовольствием сейчас бы на пенсии, я бы, может быть, взяла бы себе какую-то подработку. Гардеробщицы в театре. Я выбрала бы какое-то безумие, но я не имею возможности.","Фрустрация, усталость, легкая ирония","Достойная жизнь, свобода выбора, трудолюбие","Ситуация респондента типична для российских пенсионеров, вынужденных продолжать трудовую деятельность из-за низких социальных выплат. Желание работать по призванию сталкивается с экономической необходимостью.",декларация,,,,,вынужденное участие в рынке труда на пенсии,,,,,,,
1,"Зрелый возраст, активная гражданская позиция",Отношение к власти и государству,"Респондентка выражает недовольство работой государственных институтов, отмечает отсутствие отчетности перед гражданами и неэффективность расходования налогов. Сравнивает российскую систему с западной, где налогоплательщик чувствует себя вправе требовать услуги от государства.","Я работаю по белому, я даже не хочу там куда-то, говорю, уходить в какой-то тень, потому что я понимаю, что я буду пользоваться этим, этим, этим. Мне нужен отпуск, мне нужен больничный. Я хочу работать честно. Да, я заработала вот деньги, и я с них заплатила. И получается, что мы платим налоги, А за эти налоги нам даже не считают нужным отчитаться.","Разочарование, обида, требовательность","Честность, справедливость, ответственность государства перед гражданами",Респондентка демонстрирует типичную для части российского среднего класса установку на легальную занятость и ожидание социальной отдачи от государства. Сравнение с западными практиками указывает на внутренний конфликт между ожиданиями и реальностью.,декларация,,"Государство, налоговая система",,,,,,,,,,
2,"Зрелый возраст, гражданская активность",Отношение к СВО и патриотизм,"Респондентка выражает безусловную поддержку СВО, связывает это с историческим героизмом народа и считает, что страна должна идти своим путем, несмотря на внешнее давление.","Я поддерживаю это полностью, 150%, и никто меня с этого пути не свернет.","Уверенность, патриотизм, решимость","Патриотизм, героизм, национальная идентичность","Высокий уровень поддержки государственных военных инициатив и апелляция к исторической памяти характерны для части населения, идентифицирующей себя с государством и его миссией.",декларация,,"Государство, армия",,,,,,,,,,
3,"Зрелый возраст, рефлексия о миграции",Миграция и национальная идентичность,"Респондентка выражает обеспокоенность миграционной политикой, считает, что государство недостаточно защищает интересы коренного населения, приводит примеры из личного опыта и опыта своей семьи.","Почему у нас-то все можно? Вот я работала в магазине, к нам приходила дама, полностью укутанная в черное, и только вот разрез глаз.","Тревога, раздражение, обеспокоенность","Традиции, безопасность, национальная идентичность",Видна тревога по поводу изменения культурного ландшафта и опасения по поводу утраты традиционных ценностей. Присутствует критика мультикультурализма и запрос на более жесткую миграционную политику.,эпизод,,"Государство, миграционная политика",,,,,,,,,,
4,"Воспоминания о семье, межкультурный опыт",Семейная история и опыт жизни в многонациональной среде,"Респондентка ссылается на опыт своей матери, жившей в Дагестане, чтобы подчеркнуть различия между традициями прошлого и настоящего, отмечает изменения в религиозных и культурных практиках.","Моя мама, когда рассказывала... женщины ходили вот в этих газовых косыночках, газовых шарфах. Мужчины носили кепки, папахи... про эти бороды она говорила только про аксакалов.","Ностальгия, удивление","Семейная память, уважение к традициям, умеренность",Использование семейной истории для легитимации собственной позиции и критики современных изменений. Демонстрирует межпоколенческую передачу ценностей.,эпизод,,"Семья, этнические сообщества",,,,,,,,,,
5,"Зрелый возраст, гражданская активность",Безопасность и доверие к институтам,"Респондентка отмечает, что чувствует себя в безопасности в своем районе, но обеспокоена случаями, когда мигранты нарушают общественный порядок. Критикует государство за недостаточную защиту граждан и приводит примеры, когда люди обращаются не в полицию, а в общины.","Почему парень, который сейчас выступил против двоих армян, которые кричали, мы будем резать русских, а почему сейчас он под судом находится, а не эти армяне?","Обида, тревога, недоверие","Безопасность, справедливость, доверие к институтам","Снижение доверия к государственным институтам, рост роли неформальных сообществ (общин) в решении конфликтов. Запрос на справедливость и защиту со стороны государства.",узел,,"Полиция, местная власть, общины",,,,,,,,,,
6,"Зрелый возраст, социальная рефлексия",Обсуждение политики в кругу близких,"Респондентка рассказывает, что обсуждает политические темы с родственниками и знакомыми, но не слишком активно, так как не видит смысла в горячих спорах.","Обсуждать мы так вот уж горячо не обсуждаем, потому что, ну, как говорится, чем он в супе-то лун? Говори, не говори.","Сдержанность, усталость","Семейные связи, умеренность, прагматизм","Демонстрирует типичную для части общества стратегию избегания острых политических дискуссий в быту, несмотря на внутреннюю вовлеченность.",декларация,,"Семья, круг общения",,,,,,,,,,
7,"Зрелый возраст, опыт онлайн-общения",Опыт дискуссий о миграции в интернете,"Респондентка делится опытом участия в онлайн-дискуссиях о миграции, где столкнулась с агрессией и обвинениями в ксенофобии, была заблокирована за свою позицию.","Короче говоря, дошло до того, что меня на этом сайте заблокировали. Причем они не поледились, они сбегали посмотреть мою страничку лично...","Обида, возмущение","Свобода слова, справедливость, честность",Показывает поляризацию общества по вопросам миграции и низкую толерантность к альтернативным мнениям в онлайн-среде.,эпизод,,,,,Участие в онлайн-дискуссиях,,,,,,,
8,"Зрелый возраст, гражданская позиция",Ожидания от государства и международная политика,"Респондентка выражает желание видеть Россию сильной и самостоятельной на международной арене, без попыток понравиться другим странам. Считает, что страна должна идти своим путем и не оправдываться.","Мне кажется, что наша страна имеет достаточно... Достаточно всего, чтобы идти вперед, не обращая внимания ни на что.","Гордость, уверенность","Суверенитет, независимость, национальная гордость","Отражает распространенный в обществе запрос на самостоятельность и силу государства, а также усталость от необходимости оправдываться перед внешним миром.",декларация,,"Государство, международные отношения",,,,,,,,,,
1,Зрелость (50-60 лет),Освоение цифровых технологий и интернета,"Респондентка рассказывает о своем длительном опыте использования интернета, начиная с первых мобильных телефонов с выходом в сеть, ноутбука и социальных сетей. Она отмечает постепенное расширение цифровых практик и переход от одноклассников к ВКонтакте и Телеграму.","Я пользуюсь интернетом лет 20, наверное... Потом вот у меня был свой ноутбук, вот это тогда уже был интернет. А потом вот я купила первый телефон свой, то есть это был уже интернет, как бы вот постоянный для себя там везде.","Уверенность, спокойное принятие","Открытость новому, адаптация, самостоятельность","Респондентка демонстрирует типичный для старшего поколения путь цифровой социализации: постепенное освоение новых устройств и платформ, переход от базовых функций к более сложным (рабочие чаты, финансовые сервисы).",эпизод,,"интернет, социальные сети, мобильная связь",,,,,,,,,,
2,Зрелость (60 лет),Текущее использование цифровых сервисов,"Респондентка описывает, как интернет и приложения интегрированы в ее повседневную жизнь: общение, работа, получение информации, банковские операции. Она подчеркивает функциональность и удобство, но не рассматривает интернет как способ 'убить время'.","Наверное, интернет для меня это либо рабочее состояние, либо это интернет, ну, что-то вот как-то перехватить по-быстрому, что-то вот надо посмотреть...","Рациональность, умеренный интерес","Практичность, эффективность, баланс между онлайном и офлайном","Для респондентки интернет — инструмент, а не самоцель. Она осознанно регулирует свое цифровое потребление, что характерно для зрелых пользователей.",декларация,,,,,активное использование банковских и финансовых сервисов,,,,,,,
3,Зрелость,Отношение к новым технологиям и искусственному интеллекту,"Респондентка с интересом наблюдает за развитием ИИ, но пока не использует его в своей жизни. Восприятие новых технологий — скорее как научной фантастики, чем реальности.","Я пока читаю, это все как бы из раздела научной фантастики. Сказать честно, я пока про это ничего не могу. Ничего не могу сказать, не знаю.","Сдержанное любопытство, дистанция","Осторожность, критичность, наблюдательность","Позиция респондентки отражает типичную для старшего поколения осторожность в отношении новых технологических трендов, при этом отсутствует страх или негатив.",декларация,,,,,,,,,,,,
4,Зрелость,Рефлексия о влиянии технологий на общество и коммуникацию,"Респондентка сравнивает прошлое и настоящее, отмечая, что технологии способствуют обособлению людей, особенно молодежи, и исчезновению традиционных форм общения. Она с сожалением говорит о потере живого человеческого контакта.","Я считаю, что технологии вокруг человека создают какой-то кокон... Мы как-то обосабливаемся.","Сожаление, легкая тревога","Человеческое общение, традиции, близость","Респондентка артикулирует распространенный среди старшего поколения нарратив о 'потере настоящего общения' из-за цифровизации, противопоставляя прошлое и настоящее.",рефлексия,,,,,,,,,,,,
5,Последний год (60 лет),Потеря работы и разрыв социальных связей,"В течение года респондентка потеряла работу из-за закрытия торговой точки и неожиданно потеряла контакт с коллегой, с которой сблизилась за время работы. Это событие оставило эмоциональный след.","И вот когда нам объявили, что мы будем закрываться, И она вот внезапно просто пропала с радара... То есть она просто пропала из моей жизни.","Огорчение, недоумение, легкая грусть","Дружба, стабильность, объяснимость происходящего","Смена работы и разрыв социальных связей — типичные стрессоры для людей зрелого возраста, особенно в условиях нестабильности рынка труда.",перелом,,"рынок труда, малый бизнес",,,,,,,,,,
6,Последний год (60 лет),Профессиональное развитие и приобретение новых навыков,"Несмотря на потерю работы, респондентка отмечает положительный опыт: новые знания о сыре, уверенность в своих силах и возможность применить эти навыки в будущем.","Я получила знания все-таки в одной из областей... Я считаю, что год был удачный, более лучший, не менее лучший с точки зрения.","Удовлетворение, оптимизм","Обучаемость, профессионализм, саморазвитие","Даже негативные события респондентка интерпретирует как ресурс для будущего, что говорит о высокой адаптивности.",эпизод,,,,,,,,,,,,
7,Настоящее и будущее,Оптимизм и жизненные установки,"Респондентка декларирует жизнеутверждающий взгляд на жизнь, опираясь на семейные ценности и личный опыт. Оптимизм — главный принцип, который помогает справляться с трудностями.","На жизнь надо всегда смотреть с позитивом. Всегда. Даже когда плохо, даже когда что-то, позитив нельзя убирать.","Воодушевление, уверенность","Оптимизм, устойчивость, семейные традиции",Оптимизм как жизненная стратегия часто встречается у людей с устойчивыми семейными и культурными опорами.,декларация,,,,,,,,,,,,
8,Настоящее и будущее,Планы на здоровье и активное долголетие,"Забота о здоровье — приоритетный план на ближайшее будущее. Респондентка последовательно реализует медицинские обследования, связывает здоровье с возможностью активной жизни и путешествий.","Здоровье, например, это у меня просто план номер один, который, ну, это уже запрограммировано...","Решимость, спокойствие","Здоровье, активность, самостоятельность","Забота о здоровье становится центральной темой для людей старшего возраста, определяя их планы и образ жизни.",узел,,,,,,,,,,,,"регулярные обследования, профилактика"
9,Настоящее и будущее,Семейные проекты и поддержка близких,"Респондентка участвует в семейном проекте по поиску архивных документов для свекрови, что позволит ей получить статус соотечественника. Это пример семейной солидарности и межпоколенческой поддержки.",Мы развернули со свекровью большую работу... чтобы она смогла пройти как соотечественник.,"Увлеченность, забота","Семья, поддержка, преемственность",Семейные проекты и забота о старших — важная часть идентичности и социальной активности зрелых женщин.,эпизод,,"семья, государственные органы, архивы",,,,,,,,,,
1,"Зрелый возраст, профессиональная деятельность",Отношение к работе и покупателям,"Респондентка рассказывает о своем подходе к работе, подчеркивая важность приносить радость людям, особенно пожилым покупателям. Она старается помочь им сделать выгодную покупку и получить удовольствие от общения.","Я люблю на работе, например, я люблю, чтобы мой покупатель уходил довольный.","Теплота, забота, эмпатия","Альтруизм, забота о других, эмпатия, радость","Демонстрируется ориентация на эмоциональный труд и заботу, характерные для сервисных профессий. Особое внимание уделяется уязвимым группам (пенсионеры), что отражает ценности социальной поддержки и межпоколенческой солидарности.",эпизод,,Работа в сфере обслуживания (розничная торговля),,,"Взаимодействие с покупателями, помощь в выборе товаров",,,,,,,
2,"Зрелый возраст, рефлексия о ценностях",Отношение к старшему поколению,"Респондентка выражает особое уважение и трепет к пожилым людям, отмечая их уязвимость в современной жизни. Она цитирует известную фразу о трепетном отношении к детям и старикам, подчеркивая свою эмпатию.","Вот эта фраза из Штирлица очень нравится, когда он сказал, что это у меня трепетное отношение к детям и к старикам.","Сочувствие, уважение, легкая грусть","Уважение к старшим, эмпатия, гуманизм",Отражается межпоколенческий разрыв и ощущение отчужденности пожилых людей в современной социальной структуре. Респондентка осознает их трудности и стремится компенсировать недостаток поддержки.,декларация,1.0,,,,,,,,,,,
3,"Зрелый возраст, повседневная жизнь",Благотворительность и поддержка близких,"Респондентка рассказывает о своей благотворительной деятельности (помощь приютам для собак) и финансовой поддержке свекрови, несмотря на ее протесты. Она подчеркивает важность делать добро не только чужим, но и своим близким.","Я, например, жертвую приютом собачьим... Я иногда свекрови денег подкидываю, хотя она ругается страшно, говорит, мне так неудобно.","Забота, щедрость, легкая неловкость","Благотворительность, семейная поддержка, щедрость","Видна тенденция к неформальной поддержке родственников и животных, что характерно для российских семейных и социальных практик. Подчеркивается разница между формальными и неформальными обязанностями.",эпизод,,"Семья, благотворительные организации",False,,"Финансовая поддержка, благотворительные взносы",,,,,,,
4,"Зрелый возраст, экономическая рефлексия",Экономические трудности и стратегии выживания,"Респондентка размышляет о финансовых трудностях пожилых людей, сравнивает их возможности с собственными, отмечает важность даже небольшой помощи и умения находить радость в мелочах.","Я понимаю, что вот они заплатили за квартиру, за воду, за свет, за интернет. Все. У них даже нет выбора. То есть у нас есть выбор.","Сочувствие, забота, рефлексия","Справедливость, поддержка, экономная рациональность","Отражается социальное неравенство между поколениями, ограниченность ресурсов у пенсионеров и необходимость экономии. Респондентка осознает свои привилегии и стремится делиться ими.",узел,,"Семья, рынок розничной торговли",,,"Использование скидок, бонусных программ",,,,,,,
5,"Зрелый возраст, семейные отношения",Маленькие радости и поддержка внутри семьи,"Респондентка рассказывает о том, как она и муж стараются поощрять свекровь небольшими денежными переводами, сопровождая их теплыми пожеланиями, чтобы подарить ей радость и ощущение заботы.","И я понимаю, что тысяча там это будет немного в монатах, но, тем не менее, это хотя бы просто вот радость для человека, да, что вот она получила какие-то денежки.","Теплота, забота, удовлетворение","Семейная поддержка, радость, внимание к близким",Практика передачи небольших сумм денег с эмоциональным посылом иллюстрирует важность нематериальной поддержки и эмоциональной связи в семье.,эпизод,,Семья,False,,,,,,,,,
1,Вступление в интервью,Начало знакомства и установка правил интервью,"Респондентка знакомится с интервьюером, обсуждаются технические детали, формат и правила интервью, подчеркивается конфиденциальность и возможность пропускать неудобные вопросы.","Говорим максимально подробно, но если не хочется, не принуждайте себя.","Дружелюбие, легкая неформальность, открытость","Открытость, честность, уважение к личным границам","Вступительный этап интервью задаёт доверительную атмосферу, снижает тревожность респондента и формирует ожидания от глубинного интервью.",декларация,1.0,Сбербанк (как заказчик исследования),,,,,,,,,,
